Index,Bacteria/Host species,Download link
Bacteria,Abiotrophia defectiva,wget https://gmpsdb.cn/api/download/bacteria/4841/download/ -O BACTERIA_Abiotrophia_defectiva.tar.gz
Bacteria,Acetivibrio ethanolgignens,wget https://gmpsdb.cn/api/download/bacteria/4842/download/ -O BACTERIA_Acetivibrio_ethanolgignens.tar.gz
Bacteria,Acetomicrobium hydrogeniformans,wget https://gmpsdb.cn/api/download/bacteria/4843/download/ -O BACTERIA_Acetomicrobium_hydrogeniformans.tar.gz
Bacteria,Achromobacter xylosoxidans,wget https://gmpsdb.cn/api/download/bacteria/4844/download/ -O BACTERIA_Achromobacter_xylosoxidans.tar.gz
Bacteria,Acidaminococcus fermentans,wget https://gmpsdb.cn/api/download/bacteria/4845/download/ -O BACTERIA_Acidaminococcus_fermentans.tar.gz
Bacteria,Acidaminococcus intestini,wget https://gmpsdb.cn/api/download/bacteria/4846/download/ -O BACTERIA_Acidaminococcus_intestini.tar.gz
Bacteria,Acidaminococcus massiliensis,wget https://gmpsdb.cn/api/download/bacteria/4847/download/ -O BACTERIA_Acidaminococcus_massiliensis.tar.gz
Bacteria,Acidaminococcus sp. AM05-11,wget https://gmpsdb.cn/api/download/bacteria/4848/download/ -O BACTERIA_Acidaminococcus_sp._AM05-11.tar.gz
Bacteria,Acinetobacter baumannii,wget https://gmpsdb.cn/api/download/bacteria/4849/download/ -O BACTERIA_Acinetobacter_baumannii.tar.gz
Bacteria,Acinetobacter haemolyticus,wget https://gmpsdb.cn/api/download/bacteria/4850/download/ -O BACTERIA_Acinetobacter_haemolyticus.tar.gz
Bacteria,Acinetobacter johnsonii,wget https://gmpsdb.cn/api/download/bacteria/4851/download/ -O BACTERIA_Acinetobacter_johnsonii.tar.gz
Bacteria,Acinetobacter junii,wget https://gmpsdb.cn/api/download/bacteria/4852/download/ -O BACTERIA_Acinetobacter_junii.tar.gz
Bacteria,Acinetobacter lwoffii,wget https://gmpsdb.cn/api/download/bacteria/4853/download/ -O BACTERIA_Acinetobacter_lwoffii.tar.gz
Bacteria,Acinetobacter pittii,wget https://gmpsdb.cn/api/download/bacteria/4854/download/ -O BACTERIA_Acinetobacter_pittii.tar.gz
Bacteria,Acinetobacter radioresistens,wget https://gmpsdb.cn/api/download/bacteria/4855/download/ -O BACTERIA_Acinetobacter_radioresistens.tar.gz
Bacteria,Acinetobacter sp. 1245249,wget https://gmpsdb.cn/api/download/bacteria/4856/download/ -O BACTERIA_Acinetobacter_sp._1245249.tar.gz
Bacteria,Acinetobacter sp. 479375,wget https://gmpsdb.cn/api/download/bacteria/4857/download/ -O BACTERIA_Acinetobacter_sp._479375.tar.gz
Bacteria,Acinetobacter sp. 766875,wget https://gmpsdb.cn/api/download/bacteria/4858/download/ -O BACTERIA_Acinetobacter_sp._766875.tar.gz
Bacteria,Actinobacillus pleuropneumoniae,wget https://gmpsdb.cn/api/download/bacteria/4859/download/ -O BACTERIA_Actinobacillus_pleuropneumoniae.tar.gz
